Feature,category
161883,vegetable/herb
161885,animal
162020,vegetable/herb
16205,fruit
16208,animal
162103,vegetable/herb
162415,vegetable/herb
162472,vegetable/herb
162516,vegetable/herb
162561,vegetable/herb
162582,animal
1627,animal
162739,animal
162765,animal
162766,animal
162799,animal
16284,fruit
162867,animal
162938,animal
162956,vegetable/herb
162961,animal
163,animal
163123,vegetable/herb
163128,animal
163166,vegetable/herb
163205,vegetable/herb
163206,vegetable/herb
163208,vegetable/herb
16329,fruit
163295,animal
163297,vegetable/herb
163359,vegetable/herb
163363,animal
163376,vegetable/herb
163425,vegetable/herb
163444,animal
163445,animal
163494,vegetable/herb
163635,vegetable/herb
1637,animal
163751,vegetable/herb
1638,fruit
163826,vegetable/herb
163840,animal
163853,vegetable/herb
163863,animal
163933,animal
163955,vegetable/herb
163982,animal
164031,animal
164046,animal
164097,animal
164119,animal
164296,animal
164354,animal
164580,animal
16465,fruit
164708,vegetable/herb
164726,vegetable/herb
16475,vegetable/herb
164979,animal
165036,animal
165115,animal
165129,animal
165140,animal
165182,animal
165189,animal
165203,animal
165207,vegetable/herb
165215,animal
165259,animal
165345,vegetable/herb
165356,animal
16536,fruit
165368,animal
16537,vegetable/herb
165381,animal
165402,animal
165411,animal
165455,vegetable/herb
165511,animal
16557,vegetable/herb
165582,animal
165587,vegetable/herb
1656,vegetable/herb
165616,fruit
16564,vegetable/herb
165720,animal
1658,fruit
165850,vegetable/herb
166081,animal
166122,animal
166127,animal
166197,vegetable/herb
166245,animal
166252,animal
166257,animal
166260,animal
166266,animal
166298,animal
166333,vegetable/herb
166406,vegetable/herb
166429,animal
166597,animal
16663,fruit
166680,vegetable/herb
166696,vegetable/herb
166730,vegetable/herb
166868,vegetable/herb
166893,vegetable/herb
166977,animal
166996,vegetable/herb
167005,vegetable/herb
167046,animal
16706,vegetable/herb
167147,animal
167195,animal
167370,vegetable/herb
167379,vegetable/herb
167414,animal
167519,vegetable/herb
16760,fruit
167696,animal
167851,animal
167905,animal
167908,vegetable/herb
167912,vegetable/herb
168045,vegetable/herb
168203,animal
168214,animal
168225,animal
168230,animal
168316,vegetable/herb
168318,vegetable/herb
168345,animal
168347,vegetable/herb
168384,animal
1684,animal
168461,vegetable/herb
168519,vegetable/herb
168531,vegetable/herb
168590,animal
168627,vegetable/herb
168956,vegetable/herb
169,animal
169017,vegetable/herb
169032,animal
169075,vegetable/herb
169183,vegetable/herb
169220,animal
169284,vegetable/herb
16934,animal
169541,animal
169683,vegetable/herb
169764,animal
16992,fruit
169969,animal
169974,vegetable/herb
169994,animal
1700,animal
170032,animal
170036,vegetable/herb
170082,animal
170653,vegetable/herb
170672,vegetable/herb
170713,vegetable/herb
170723,animal
170732,vegetable/herb
170750,vegetable/herb
170780,animal
17084,animal
170875,vegetable/herb
170962,animal
171064,animal
171087,animal
171104,animal
171201,animal
171210,vegetable/herb
171248,animal
171269,vegetable/herb
171288,vegetable/herb
171293,vegetable/herb
171321,vegetable/herb
171421,animal
171427,animal
171431,vegetable/herb
171435,vegetable/herb
171506,vegetable/herb
171550,vegetable/herb
171556,vegetable/herb
171577,vegetable/herb
171587,vegetable/herb
171661,vegetable/herb
171668,vegetable/herb
171705,vegetable/herb
171741,vegetable/herb
171828,vegetable/herb
171832,animal
171893,vegetable/herb
17196,fruit
172007,vegetable/herb
172019,vegetable/herb
172068,vegetable/herb
172077,vegetable/herb
172195,vegetable/herb
1722,fruit
172267,vegetable/herb
172288,vegetable/herb
172346,vegetable/herb
172407,vegetable/herb
172517,vegetable/herb
172545,vegetable/herb
172618,vegetable/herb
172688,vegetable/herb
172733,vegetable/herb
172816,animal
172817,vegetable/herb
172818,animal
172856,animal
172877,animal
172898,animal
172914,vegetable/herb
172937,animal
172959,animal
172982,animal
173065,vegetable/herb
173103,vegetable/herb
173113,vegetable/herb
173142,animal
173144,vegetable/herb
173149,animal
173255,vegetable/herb
173301,animal
173316,animal
173426,vegetable/herb
173496,vegetable/herb
173498,animal
173527,vegetable/herb
17355,fruit
173688,vegetable/herb
173720,animal
173763,vegetable/herb
173807,vegetable/herb
17401,fruit
174019,vegetable/herb
174102,vegetable/herb
174260,vegetable/herb
174278,vegetable/herb
174280,animal
17430,animal
174606,vegetable/herb
174646,vegetable/herb
1747,vegetable/herb
174703,vegetable/herb
174713,animal
174734,animal
174739,animal
174784,animal
1748,vegetable/herb
174855,animal
17487,fruit
174875,animal
17489,animal
174890,animal
174908,animal
174944,animal
174979,vegetable/herb
174987,animal
174996,vegetable/herb
17508,animal
175085,vegetable/herb
175123,animal
1752,animal
17523,vegetable/herb
175283,vegetable/herb
175405,vegetable/herb
175472,vegetable/herb
1755,animal
17560,fruit
175628,animal
17570,animal
175719,animal
175752,vegetable/herb
1758,animal
175813,vegetable/herb
175912,animal
175998,animal
17614,animal
176155,animal
176171,animal
1762,fruit
176212,animal
176225,animal
176277,vegetable/herb
17629,animal
176316,vegetable/herb
176317,vegetable/herb
176320,vegetable/herb
176334,vegetable/herb
176350,vegetable/herb
176370,vegetable/herb
176499,animal
176587,animal
176624,animal
176629,animal
176769,animal
176772,animal
176786,animal
176820,animal
176918,animal
176965,animal
176970,animal
176998,animal
177081,animal
17711,animal
177121,animal
177142,animal
177152,animal
177154,animal
177183,animal
177234,animal
177366,animal
177375,animal
177398,animal
177402,animal
177423,vegetable/herb
177437,vegetable/herb
177525,animal
177557,vegetable/herb
177608,animal
177662,vegetable/herb
177703,animal
177753,animal
177815,animal
177860,animal
177886,vegetable/herb
177903,fruit
177951,vegetable/herb
1780,animal
178103,vegetable/herb
178273,vegetable/herb
178372,animal
178374,animal
178421,vegetable/herb
178426,vegetable/herb
178453,vegetable/herb
178478,vegetable/herb
178502,vegetable/herb
178521,animal
178627,animal
178809,vegetable/herb
178851,animal
178877,animal
178884,animal
178911,vegetable/herb
178914,vegetable/herb
178923,vegetable/herb
178971,animal
179007,animal
179016,animal
179024,animal
179036,animal
179097,animal
179111,animal
179233,vegetable/herb
179265,vegetable/herb
179268,animal
179314,animal
179339,animal
179375,animal
179390,animal
179478,vegetable/herb
179531,animal
179623,vegetable/herb
179665,animal
179693,vegetable/herb
179774,vegetable/herb
179823,vegetable/herb
179842,vegetable/herb
179867,vegetable/herb
179884,animal
18003,fruit
180075,vegetable/herb
180260,animal
180274,animal
180295,vegetable/herb
180358,animal
180360,animal
180368,animal
180444,vegetable/herb
180468,animal
180469,animal
180513,vegetable/herb
180562,vegetable/herb
180581,animal
180590,vegetable/herb
180609,animal
180722,vegetable/herb
180809,animal
1809,fruit
181013,animal
181014,animal
18104,fruit
181102,animal
181185,vegetable/herb
18121,fruit
181254,animal
181277,animal
181289,animal
181310,animal
181332,vegetable/herb
181404,animal
181405,animal
181428,animal
181523,animal
181612,animal
181703,animal
18174,fruit
181759,vegetable/herb
181766,vegetable/herb
181782,vegetable/herb
181915,vegetable/herb
182005,animal
18203,vegetable/herb
18207,fruit
182297,animal
182342,animal
182344,animal
18237,animal
182388,vegetable/herb
182423,animal
18246,animal
182467,animal
1826,vegetable/herb
18263,fruit
18271,fruit
182722,vegetable/herb
183016,vegetable/herb
18304,fruit
183078,vegetable/herb
183094,vegetable/herb
183097,vegetable/herb
183106,vegetable/herb
183136,vegetable/herb
183150,vegetable/herb
183185,animal
183190,vegetable/herb
183197,vegetable/herb
18322,animal
183366,animal
