"feature","category"
"114243","cheddar cheese"
"114297","egg_chicken, cocoa seed"
"114351","sage, pepper, anise, cardamom, lettuce, cranberry, oregano, mint"
"114364","cheddar cheese"
"1144","beet, onion, peanut, anise, bay leaf, Spenach, chive blossom"
"114457","beef, Tilapia, langostino, yogurt_cow"
"114469","beef"
"114473","beef, shrimp, langostino, lemon balm"
"114475","beef, Tilapia, chicken"
"114490","broccoli, olive, Spenach, hing powder, garlic powder, cream, brussel sprout"
"11451","betel nut leaf, peanut, anise, hing powder, cocoa seed, garlic powder, banana, eggplant, marjoram"
"114539","walnut, turmeric, grape_fermented, peanut, anise, olive, cardamom, bay leaf, legume, butter, avocado, lavender"
"114584","shrimp"
"114599","cheddar cheese"
"1146","beef"
"114602","cheddar cheese"
"114623","cheddar cheese"
"114626","cheddar cheese"
"114686","trout, lettuce"
"114696","poppy seed, guava"
"114712","walnut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach"
"114770","beef"
"114783","carrot, onion, turmeric, pepper, anise, ginger, oregano, cloves"
"114841","borage leaf"
"114842","walnut, grape_fermented, peanut, lentil, olive, cardamom, bay leaf, butter, Spenach, ginger, oregano, cloves"
"114918","sage, chicken, sugarcane, kale"
"114950","peanut, anise, cardamom, bay leaf, legume, butter, Spenach, oregano"
"114957","anise, bay leaf, lettuce, avocado"
"114975","shrimp, Tilapia"
"115003","walnut, grape_fermented, olive, bay leaf, hing powder, lavender"
"115012","milk_cow, cheddar cheese"
"115039","beef, melon, salmon, chicken, cream, watercress, veal"
"11505","cloves"
"115065","walnut, celery, pine nut, turmeric, lentil, anise, olive, bay leaf, legume, butter, Spenach, Tilapia"
"115071","yogurt_cow, cheddar cheese"
"115108","rice, soda, spice"
"115115","beef, grain_fermented, Tilapia, salmon, cheddar cheese"
"115121","Tilapia, dill flower"
"115140","milk_cow, yogurt_cow"
"115142","yogurt_cow, cheddar cheese"
"115143","yogurt_cow, cheddar cheese"
"11517","tomato, blueberry, raspberry, strawberry, ground cherry, guava"
"115207","beef"
"115239","walnut, turmeric, cilantro, grape_fermented, basil, lentil, anise, cardamom, bay leaf, oregano, lavender, guava"
"115253","beef"
"115278","cheddar cheese"
"115285","cheddar cheese"
"115293","cheddar cheese"
"115295","cheddar cheese"
"115420","trout, pepper, sugarcane"
"11549","blueberry, raspberry, strawberry, cranberry, ground cherry, guava"
"115508","borage flower"
"115534","walnut, pea, peanut, olive, cardamom, bay leaf, spice, butter, Spenach, oregano"
"115536","sage, anise, oregano, parsley"
"115548","beef, trout, egg_chicken, spinach"
"115603","veal, cheddar cheese"
"115616","milk_cow, yogurt_cow, cheddar cheese"
"115629","pepper, sesame"
"115655","beef, chicken"
"115663","cheddar cheese"
"115704","walnut, pine nut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach, Tilapia, pig, oregano"
"115719","beef, veal"
"115728","beef, veal"
"115785","beef, peanut, salmon, pig"
"115825","fig, pepper, lavender, mint"
"115837","onion, wheat, ground cherry, squash blossom, cheddar cheese"
"115869","pine nut, pea, grape_fermented, peanut, lentil, anise, olive, cardamom, bay leaf, ginger, cloves"
"115870","pine nut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, spice, legume, butter, Spenach, ginger, Tilapia, pig"
"115880","grape_fermented, peanut, lentil, bay leaf, Spenach, melon"
"115933","cheddar cheese"
"115968","cheddar cheese"
"115988","melon, egg_chicken"
"116008","beef"
"116015","beef, veal"
"116084","sweet potato, arugula, walnut, grape_fermented, bay leaf, Spenach, ginger, oregano, lavender, guava, watercress, marjoram"
"116152","walnut, grape_fermented, olive, bay leaf, butter, Spenach, ginger"
"11616","sweet potato, carrot, peanut, cranberry, oregano, potato"
"116177","lentil, Tilapia, avocado, cheddar cheese"
"116200","thyme"
"116261","bean, oregano"
"116277","betel nut"
"11629","blueberry, grape_fermented, peanut, anise, grape, cocoa seed, cranberry, oregano, apricot, chive stem"
"116297","cheddar cheese"
"116335","sweet potato, banana, avocado, persimmon, jicama, betel nut"
"116340","beef, sesame"
"116382","walnut, peanut, olive, cardamom, bay leaf, legume, poppy seed"
"116394","tomato"
"116477","tomato, pepper, cloves"
"116485","broccoli, rice, arugula, grape_fermented, bean, cardamom, bay leaf, squash, guava"
"116517","blueberry, strawberry, walnut, grape_fermented, anise, bay leaf, cranberry, oregano, avocado, apricot, guava"
"116518","beef"
"116555","avocado"
"116615","lettuce"
"116617","pepper"
"116666","walnut, pine nut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach"
"11671","tomato, blueberry, strawberry, peanut, hing powder, cranberry, persimmon"
"116756","fig, ginger"
"116787","betel nut leaf, walnut, pine nut, turmeric, grape_fermented, cardamom, pig"
"116826","arugula, bean"
"116854","onion"
"116873","milk_cow"
"116886","kale, watercress"
"116911","anise, cardamom, spice, ginger, oregano"
