"Feature","category","Method"
"32214","Chocolate milk shake","Top20_VIP_High"
"32220","Chocolate Rice Pudding","Top20_VIP_High"
"32232","Vitamin kids","Top20_VIP_High"
"32234","Chocolate Rice Pudding","Top20_VIP_High"
"32365","Warburtons bread","Top20_VIP_High"
"32397","Vitamin kids","Top20_VIP_High"
"32452","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"32455","Apple and Mango juice","Top20_VIP_High"
"32458","Apple and Mango juice","Top20_VIP_High"
"32464","Apple and Mango juice","Top20_VIP_High"
"32494","Orange juice","Top20_VIP_High"
"32654","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"32727","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"32741","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"32797","Tomato","Top20_VIP_High"
"32798","Tomato","Top20_VIP_High"
"32802","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"32844","Honey flakes and whole milk, Milk (whole)","Top20_VIP_High"
"32861","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"32980","Rice pops","Top20_VIP_High"
"32985","Tomato","Top20_VIP_High"
"33010","Chicken and potato soup","Top20_VIP_High"
"33073","Milk (semi skimmed)","Top20_VIP_High"
"33139","Custard cream (based on ice cream)","Top20_VIP_High"
"33219","Milk (whole)","Top20_VIP_High"
"33220","Milk (whole)","Top20_VIP_High"
"33319","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"33321","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"33383","Apple and Mango juice","Top20_VIP_High"
"33442","Chocolate milk shake","Top20_VIP_High"
"335","Sandwich with egg-butter","Top20_VIP_High"
"33558","Chocolate milk shake","Top20_VIP_High"
"33680","Custard cream (based on ice cream)","Top20_VIP_High"
"33682","Custard cream (based on ice cream), Chocolate milk shake","Top20_VIP_High"
"33740","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"33741","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"33835","Apple and Mango juice","Top20_VIP_High"
"33936","Rice pops and whole milk","Top20_VIP_High"
"34121","Warburtons bread","Top20_VIP_High"
"34130","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"34272","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"34363","Cheese and potato bake","Top20_VIP_High"
"34414","Milk (skimmed)","Top20_VIP_High"
"346","Sandwich with egg-butter","Top20_VIP_High"
"34845","Honey flakes","Top20_VIP_High"
"34854","Cucumber, Orange juice","Top20_VIP_High"
"3495","Apple juice","Top20_VIP_High"
"35084","Tomato","Top20_VIP_High"
"35085","Tomato","Top20_VIP_High"
"35192","Orange juice","Top20_VIP_High"
"35243","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"35307","Warburtons bread","Top20_VIP_High"
"35308","Warburtons bread","Top20_VIP_High"
"35370","Vitamin kids","Top20_VIP_High"
"35373","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"35379","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"35385","Vitamin kids","Top20_VIP_High"
"35412","Honey flakes and whole milk, Rice pops and whole milk","Top20_VIP_High"
"355","Egg, Sandwich with egg-butter","Top20_VIP_High"
"3551","butter, Mayo","Top20_VIP_High"
"35695","Orange juice","Top20_VIP_High"
"35748","Chicken with mashed potatoes and cheese sauce, Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"35858","Cheddar Cheese","Top20_VIP_High"
"35859","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"35865","Vitamin adults","Top20_VIP_High"
"359","Fish & Chips, Chicken Nuggets & Chips","Top20_VIP_High"
"35931","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"35974","Honey flakes and whole milk, Milk (whole)","Top20_VIP_High"
"36042","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"36122","Cornflakes and whole milk, Honey flakes and whole milk, Milk (whole), Rice pops and whole milk","Top20_VIP_High"
"36143","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"36153","Chocolate Rice Pudding","Top20_VIP_High"
"36179","Rice pops and whole milk","Top20_VIP_High"
"36199","Cornflakes and whole milk, Honey flakes and whole milk, Milk (whole), Rice pops and whole milk","Top20_VIP_High"
"36316","Chocolate Rice Pudding","Top20_VIP_High"
"36317","Chocolate Rice Pudding","Top20_VIP_High"
"36332","Vitamin kids","Top20_VIP_High"
"36338","Vitamin kids","Top20_VIP_High"
"36439","butter","Top20_VIP_High"
"36465","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"36486","Honey flakes, Rice pops","Top20_VIP_High"
"36530","Honey flakes and whole milk, Rice pops and whole milk","Top20_VIP_High"
"36609","Cheese and potato bake","Top20_VIP_High"
