#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
2366	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:23739	9020	-1	0	348.176	1	0.898012	86.92	0	788600.0	92835300.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2366	-1	500_foods_SPECTRUMID2.mgf	1.4024				13	0	0.000488281	348.177	0	
94	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:25752	28247	-1	0	185.043	0	0.897682	23.45	0	220400.0	289119000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf94	-1	500_foods_SPECTRUMID2.mgf	108.023				6	0	0.019989	185.023	0	
19399	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:247408	26247	-1	0	181.988	1	0.897599	645.25	0	328900.0	13033500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf19399	-1	500_foods_SPECTRUMID2.mgf	0.586915				6	0	0.000106812	181.988	0	
1492	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:15158	50372	-1	0	247.129	1	0.897291	61.87	0	3411000.0	384183000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1492	-1	500_foods_SPECTRUMID2.mgf	0.86442				9	0	0.000213623	247.129	0	
5355	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:51690	3164	-1	0	297.128	1	0.897002	181.02	0	740600.0	92820500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf5355	-1	500_foods_SPECTRUMID2.mgf	0.821669				8	0	0.000244141	297.128	0	
5211	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:41314	10429	-1	0	360.212	1	0.897001	176.37	0	728000.0	106983000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf5211	-1	500_foods_SPECTRUMID2.mgf	0.169442				10	0	6.10352e-05	360.213	0	
2289	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:21696	12168	-1	0	375.187	1	0.896825	84.94	0	548700.0	38426100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2289	-1	500_foods_SPECTRUMID2.mgf	0.406698				16	0	0.000152588	375.187	0	
11152	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:18269	45402	-1	0	208.118	1	0.8968	413.34	0	62500.0	36451500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf11152	-1	500_foods_SPECTRUMID2.mgf	72.2182				6	0	0.0150299	208.133	0	
8381	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:110322	36988	-1	0	692.406	1	0.895299	291.98	0	555000.0	60937100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8381	-1	500_foods_SPECTRUMID2.mgf	0.0881493				13	0	6.10352e-05	692.407	0	
8478	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:122895	17265	-1	0	421.259	1	0.895206	296.51	0	456900.0	120925000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8478	-1	500_foods_SPECTRUMID2.mgf	1.01421				12	0	420.253	421.259	0	
9164	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:136433	50192	-1	0	245.138	1	0.895116	335.63	0	368900.0	13316700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf9164	-1	500_foods_SPECTRUMID2.mgf	1.05818				8	0	0.000259399	245.138	0	
7282	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:71793	48572	-1	0	227.127	1	0.895084	241.14	0	97900.0	241540000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf7282	-1	500_foods_SPECTRUMID2.mgf	3.09036				10	0	0.000701904	227.127	0	
16745	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:227824	18328	-1	0	431.353	1	0.894711	558.57	0	2404100.0	15265000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf16745	-1	500_foods_SPECTRUMID2.mgf	3.04218				11	0	0.00131226	431.352	0	
12715	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:202467	17808	-1	0	426.321	1	0.894656	456.38	0	1973300.0	461494000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf12715	-1	500_foods_SPECTRUMID2.mgf	0.859002				15	0	0.000366211	426.321	0	
12667	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:186209	7401	-1	0	333.263	1	0.894647	454.96	0	152400.0	92742100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf12667	-1	500_foods_SPECTRUMID2.mgf	1.19044				11	0	0.000396729	333.263	0	
474	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:7584	381	-1	0	137.065	1	0.894384	29.87	0	144600.0	54186300.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf474	-1	500_foods_SPECTRUMID2.mgf	141.16				5	0	0.0193481	137.046	0	
6733	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:69994	15211	-1	0	402.233	1	0.894154	217.87	0	50000.0	722772000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf6733	-1	500_foods_SPECTRUMID2.mgf	0.606963				6	0	0.000244141	402.233	0	
6946	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:75587	22656	-1	0	472.275	1	0.894031	225.99	0	236100.0	263049000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf6946	-1	500_foods_SPECTRUMID2.mgf	0.0				14	0	0.0	472.275	0	
19355	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:247130	48627	-1	0	228.007	1	0.893742	644.35	0	2640000.0	16348200.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf19355	-1	500_foods_SPECTRUMID2.mgf	0.602301				6	0	0.000137329	228.007	0	
